X, Y, Z, alpha, gamma, beta, activity,test
-0.06640625,-0.048828125,-1.04296875,5.126953125,-25.543212890625,7.598876953125, 1, 2 
-0.11767578125,0.138427734375,-1.158447265625,-23.681640625,-27.83203125,8.514404296875, 1, 2 
-0.19970703125,0.122802734375,-1.279541015625,-62.042236328125,-10.406494140625,9.6435546875, 1, 2 
-0.16015625,0.06396484375,-1.295654296875,-80.535888671875,21.453857421875,6.04248046875, 1, 2 
-0.09326171875,-0.0244140625,-1.242919921875,-44.830322265625,45.379638671875,1.129150390625, 1, 2 
-0.15869140625,0.21240234375,-1.6787109375,-19.439697265625,56.793212890625,-5.096435546875, 1, 2 
-0.05322265625,0.25,-1.54931640625,-17.2119140625,49.49951171875,-8.85009765625, 1, 2 
0.162353515625,0.319580078125,-1.317138671875,17.27294921875,34.60693359375,-17.2119140625, 1, 2 
0.21826171875,0.304443359375,-1.0380859375,61.6455078125,19.34814453125,-32.77587890625, 1, 2 
0.12255859375,0.3037109375,-0.739013671875,121.03271484375,3.41796875,-31.982421875, 1, 2 
0.120361328125,0.38037109375,-0.756103515625,148.345947265625,-4.608154296875,-30.09033203125, 1, 2 
0.08251953125,0.250244140625,-1.01318359375,109.4970703125,-4.547119140625,-39.581298828125, 1, 2 
-0.062744140625,0.1328125,-1.087158203125,31.280517578125,0.54931640625,-37.65869140625, 1, 2 
-0.073974609375,0.028564453125,-0.939697265625,-5.340576171875,-3.814697265625,-18.341064453125, 1, 2 
-0.01416015625,-0.143310546875,-1.739013671875,-52.55126953125,-30.914306640625,11.871337890625, 1, 2 
-0.08740234375,0.175537109375,-0.8515625,-47.2412109375,-52.42919921875,39.9169921875, 1, 2 
-0.118896484375,0.178955078125,-0.815185546875,-35.21728515625,-56.2744140625,47.4853515625, 1, 2 
-0.130859375,0.081298828125,-0.715576171875,-21.392822265625,-46.44775390625,51.7578125, 1, 2 
-0.114990234375,0.123779296875,-0.65185546875,-13.73291015625,-36.19384765625,49.163818359375, 1, 2 
-0.0751953125,0.11328125,-0.590576171875,-11.993408203125,-31.158447265625,43.243408203125, 1, 2 
-0.076904296875,0.109130859375,-0.564208984375,-14.617919921875,-32.3486328125,36.956787109375, 1, 2 
-0.096923828125,0.12060546875,-0.59033203125,-16.326904296875,-37.567138671875,32.89794921875, 1, 2 
-0.127197265625,0.084716796875,-0.62744140625,-24.322509765625,-37.139892578125,28.74755859375, 1, 2 
